"ASIANPAINT","BAJAJ-AUTO","BAJAJFINSV","ADANIPORTS","AXISBANK","BAJFINANCE","BHARTIARTL","BPCL","BRITANNIA","CIPLA","COALINDIA","DRREDDY","EICHERMOT","GAIL","GRASIM","HCLTECH","HDFC","HDFCBANK","HEROMOTOCO","HINDALCO","HINDUNILVR","ICICIBANK","INDUSINDBK","INFY","IOC","ITC","JSWSTEEL","KOTAKBANK","LT","M&M","MARUTI","NESTLEIND","NTPC","ONGC","POWERGRID","RELIANCE","SBIN","SHREECEM","SUNPHARMA","TATAMOTORS","TATASTEEL","TCS","TECHM","TITAN","ULTRACEMCO","UPL","VEDL","WIPRO","ZEEL"
1676.8,2442.15,4762.35,266.35,402.8,2079.65,532.5,347.9,3092.95,611.85,142.3,3939,13748.8,93.5,479.05,514.25,1724.35,923,2000.7,115.9,2082.65,338.05,423.05,673.7,79.75,174.05,163.55,1277.8,850.65,357.05,4886.3,17456.45,91.45,76.55,159.05,1435.2,178.85,18625,465.45,83.9,273.6,1930.45,502.45,891.85,3347.6,385.4,79.95,190.05,146.4
1619.15,2422.8,4629.2,263.1,389,2002.35,528.05,347.05,2978.75,596.9,138,3833.9,13810.95,91.1,471.45,520.4,1689.9,911.45,1965.35,115.9,2041.5,330.85,418.7,673.7,78.7,173.9,163.9,1238.35,836.9,368.15,4829.85,17421.5,92.6,78.45,163.65,1460.65,170.4,18512,456.3,80.9,272.65,1932.75,499.95,886.95,3284.35,387.05,78.9,184.2,148.4
1610.65,2471.85,4692.9,270.15,388.85,2106.25,546,343.8,2987.7,591.75,133.75,3852.5,13859.95,94.7,482.4,519.1,1732.15,946.4,2026.75,118.6,2010.2,341.4,425.5,665.9,76.55,163.9,165.8,1245.95,837.3,387.15,4843.25,17309.3,94.7,79.25,165.4,1460.75,171.1,18741.9,454.4,83.2,277.75,1903.6,506.85,876.45,3324.4,379,79.45,187.05,152.65
1594.3,2406.55,4673.4,282.4,397.35,2060.55,528.05,329.55,2915.35,589.55,130.8,3837.65,14010.5,91.5,485.2,511.75,1703.9,925,2000.3,117.65,1992.05,336.75,454.35,664.95,75.75,161,172.2,1199.8,822.85,400.65,4749.3,17142.45,90.45,75.6,161.75,1506.95,170.75,18432.4,452.2,82.5,275.85,1891.65,516.35,849.1,3252.85,368.4,78.55,184.1,147.35
1578.4,2419.05,4601,285.05,382.05,2024.15,530.05,324.75,2994.65,591.9,129,3984,13858.85,91.35,486.3,518.4,1689.7,929.05,1962.6,117.1,2089.45,337.7,440.35,674.2,74.35,158.25,168.65,1217.45,815.95,386.7,4654.15,17802.95,87,76,159,1561.8,166.65,18732.75,469,81.05,272.9,1893.4,536.2,832.85,3305.8,364.6,77.4,184,150.65
1569.6,2566.3,4558,289.7,379.55,2015.05,536.2,314.8,3053.95,586.05,128.45,3862,14288.95,92.05,504.45,527.55,1658.45,915.8,2088.65,119.75,2048,320.15,433.4,682.9,75.35,158.45,174.55,1188.45,821.6,390.1,4937.8,17562.1,86.65,77.05,158.8,1576.8,165.45,18914.9,463.85,86.1,276.2,1935.3,530.2,829.6,3360.75,368.1,79.6,184.7,155.4
1523.35,2628.85,4668.2,291.5,386.85,2069.7,559.85,312.5,3107.3,570.15,126.85,3773.4,14167.05,88.7,517.95,527.4,1674.1,901.55,2114.3,121.1,2011.55,321.2,446.2,687.65,74.9,165.05,178.2,1157.2,814.8,393.05,4951.3,17461.95,91.65,76.3,163.3,1479.25,166.9,19127.2,463.9,86.2,273.95,1949.5,533.25,846.45,3349.35,374.55,89.05,187.05,155.05
1563.3,2696,4816.4,309.35,414,2161.05,555.95,316.55,3079.55,570.2,130.6,3779.6,14271.65,89.35,522.95,528.75,1712.75,927.65,2187.6,123.55,1995.75,338.05,448.6,694.15,76,165.4,182.35,1186.7,862.9,413.05,5036.1,16512.35,93.05,78.2,166.65,1496.45,174.1,19763.25,452.35,87.2,276.55,1949.65,544.75,860.45,3546.7,389.65,90.25,189.7,165.15
1522.4,2702.65,4790.25,308.4,401.95,2112,539.85,309.7,3118.7,569.75,128.65,3732,14031.85,85.45,511.4,517.45,1632.4,893.7,2241.35,117.2,2006.05,327.4,428,658.15,75.15,163.8,175.2,1173.1,871.65,400.45,5114.05,16242.5,89.35,76.15,160.8,1435.95,167.95,19310.8,455.95,83.8,268.55,1902.35,515.7,846,3609.5,391.85,89.15,186,169.65
1552.95,2663.6,4723.25,309.25,388.55,2086.45,554.1,318.2,3125.65,570.3,129.6,3735.1,14099.6,85.8,517.85,511.25,1633.8,888.15,2193.55,119.25,2032.1,322.7,418.7,652.3,75.5,164.65,174.3,1178.3,864.4,381.3,5100.4,16443.8,90.85,76.15,159.8,1459.4,166.4,19180.5,448.6,84.35,273.45,1892.9,510.55,845.6,3583.15,378.9,92.95,183.8,164.2
1501.1,2477.45,4465.45,293.3,358.8,1938.6,538.05,294.05,3109.55,600.45,121.7,3679.15,12988.2,81,495.8,510.75,1512.05,836.65,2070.55,115.35,2005.25,298.5,376.75,663.9,71.55,164.75,163.25,1113.65,813.35,377.2,4720.95,16240.35,88.9,72.9,154.5,1440.75,155.3,18152.7,440.7,80.65,266.6,1945.6,504.05,817.3,3307.8,375.8,92.5,182.2,149.5
1503.95,2509.3,4535.45,319.2,354.5,1964.95,598.8,293.3,3104,594.95,123.6,3699.6,12966.2,81.85,511.85,518.25,1539.85,830.65,2073.5,117.3,1975.55,300.3,367.8,668.6,72.05,170.75,169.3,1130.45,796.35,382.9,4805.3,16150.3,91.05,77.15,158.05,1408.9,152.8,18340.75,441.7,81.8,272,1948.65,512.6,826.8,3438.15,339.65,90,184.4,150.25
1500.05,2557.75,4702.05,323.75,362.5,2042.8,594.05,308.9,3127.85,620.65,123.25,3910.2,13675.1,86.25,536.85,526.75,1627,857.1,2023.6,120.8,1990.85,305.65,357.3,669.55,74.1,175.75,171.05,1160.1,835,405.05,4891.95,16303.4,92.9,78,158.45,1433.7,153.4,19411.65,455.75,83.45,283.2,1953.6,519.2,848.7,3528.5,356.55,88.55,184.95,153.55
1574.3,2640.35,4539.2,317.15,357.2,1990.2,594.55,313.2,3110.95,616.6,124.5,3847.5,14087.6,87.95,526.95,534.85,1597.3,859.55,2119.5,129.5,1970.9,304.4,346.8,672.2,74.45,188.95,169.9,1150.25,820.5,408.3,5050.1,16295.45,90.25,77,158.9,1441.25,151.95,19251.15,466.45,84.1,283.7,1991.2,520.05,849.85,3571.5,366.8,90.2,189.1,153.95
1617.9,2553.75,4315.55,310.6,336.95,1895.3,593.2,315.2,3167.1,639.35,125.2,3892.85,13922.4,87.2,532.35,530.4,1516.15,838.85,2150.6,124.85,1987.9,291.05,338.35,692.35,75.5,186.35,166.15,1160.2,815.7,426.35,5134.3,16215.15,90.95,76.15,155.85,1431.55,150.85,19910.25,469.4,82.8,274.45,2020.35,529.65,849.65,3638.95,371.15,89.1,189,163.25
